ID,DATE,Title,Author,Subjects,Publisher,Language
revlalambertlldv00lamb,1800,"Rev. L. A. Lambert, LL.D. versus Col. R. G. Ingersoll : the Christmas sermon of the noted infidel dissected by the eminennt doctor","Lambert, L. A. (Louis Aloisius), 1835-1910;Spalding, John Lancaster, 1840-1916","Ingersoll, Robert Green, 1833-1899",Cleveland : Universe Publishing,eng
englishcarolsoff00full_0,1800,"English carols of the fifteenth century : from a MS. roll in the library of Trinity College, Cambridge;","Fuller-Maitland, John Alexander, 1856-1936","Carols, English;Christmas music",London : Leadenhall Press,eng
sermonsonimporta00wint,1800,Sermons on important and chiefly practical subjects,"Winter, Richard","Winter, Richard;Sermons, English;Funeral sermons",London : Printed by T. Gillet,eng
zoonomiaorlawso03darwgoog,1803,"Christmas eve, and other poems","Stebbins, Charles Maurice, 1871- [from old catalog]",,"Salt Lake City, Kelly & company",eng
zoonomiaorlawso04darwgoog,1803,"Christmas eve, and other poems","Stebbins, Charles Maurice, 1871- [from old catalog]",,"Salt Lake City, Kelly & company",eng
christmasfiresid00wheaiala,1806,"The Christmas fire-side : or, The juvenile critics","Wheatley, Sarah",Conduct of life,"London : Longman, Hurst, Rees, and Orme",eng
winterorcomforts00londiala,1806,"Winter, or, The comforts of a fire-side : embellished with fine wood engravings",,Winter;Children -- Conduct of life,"London : Printed for Boyle, Corcoran, and Crompton, 198, Upper Thames Street, by J. Arliss and Co., 32, Gutter Lane",eng
remarksonanaddre00nort,1809,"Remarks on \""An Address from the Berean Society of Universalists in Boston to the congregation of the First Church in Weymouth : in answer to a sermon delivered in said church, December 18, 1809, entitled \""The will of God respecting the salvation of all men, illustrated.\"" Also, a few strictures on a performance of Samuel Thompson entitled \""Universal restoration vindicated in a reply\"" to the same sermon","Norton, Jacob, 1764-1858;Berean Society of Universalists in Boston;First Church (Weymouth, Mass.);John Adams Library (Boston Public Library) BRL;Adams, John, 1735-1826, former owner","Norton, Jacob, 1764-1858;Christophilus, 1766-1837;Berean Society of Universalists in Boston;Address from the Berean Society of Universalists in Boston to the congregation of the First Church in Weymouth, in answer to a sermon delivered in said church, December 18, 1809, entitled \The will of God respecting the salvation of all men, illustrated.\;Universalism;Restorationism;Congregational churches -- Doctrines",[Boston : Printed by Lincoln & Edmands,eng
holidayrewardort00ventiala,1814,"The holiday reward, or, Tales to instruct and amuse good children during the Christmas and midsummer vacations","Ventum, Mrs. (Harriet)",Children's stories;Conduct of life,"London : Printed for J. Harris, corner of St. Paul's CHurch-yard",eng
statepapersonneg00unse,1815,"State papers, on the negotiation and peace with America, 1814",,Great Britain. 1814 December 24,"London, Sherwood, Neely and Jones",eng
winteroldagewint00newyiala,1816,"Winter : old age, the winter of life",,Winter,"New York : Printed and sold by Samuel Wood & Sons, at the Juvenile Book-store, No. 357, Pearl-street",eng
grandfatherorchr00sandiala,1816,"The grandfather; or, The Christmas holidays. A tale","Sandham, Elizabeth",Grandfathers;Grandchildren;Christmas stories,London : Published by Bowdery and Kerby,eng
cu31924105501617,1817,"Zapolya, a Christmas tale in two parts: the prelude, entitled \""The usurper's fortune;\"" and the sequel, entitled \""The usurper's fate.\""","Coleridge, Samuel Taylor, 1772-1834;Wordsworth Collection",,"London, Printed for Rest Fenner",eng
visittomanorhous00breniala,1819,"A visit to the manor house, or, The twelve days at Christmas : with hints for improvement",,Conduct of life;Christmas,"Brentford : Printed by and for P. Norbury : sold by Baldwin, Cradock, & Joy, Paternoster-row, and all the other booksellers",eng
sketchbookgeoff15irvigoog,1820,"Washington Irving's The legend of Sleepy Hollow and other stories (The sketch-book of Geoffrey Crayon, gent.)","Irving, Washington, 1783-1859",Christmas;Large type books,"Thorndike, Me. : G.K. Hall",eng
sketchbookgeoff20irvigoog,1820,"Washington Irving's The legend of Sleepy Hollow and other stories (The sketch-book of Geoffrey Crayon, gent.)","Irving, Washington, 1783-1859",Christmas;Large type books,"Thorndike, Me. : G.K. Hall",eng
sketchbookgeoff00irvgoog,1821,"Washington Irving's The legend of Sleepy Hollow and other stories (The sketch-book of Geoffrey Crayon, gent.)","Irving, Washington, 1783-1859",Christmas;Large type books,"Thorndike, Me. : G.K. Hall",eng
sketchbookgeoff01irvgoog,1821,"Washington Irving's The legend of Sleepy Hollow and other stories (The sketch-book of Geoffrey Crayon, gent.)","Irving, Washington, 1783-1859",Christmas;Large type books,"Thorndike, Me. : G.K. Hall",eng
sketchbookgeoff04irvigoog,1822,"Washington Irving's The legend of Sleepy Hollow and other stories (The sketch-book of Geoffrey Crayon, gent.)","Irving, Washington, 1783-1859",Christmas;Large type books,"Thorndike, Me. : G.K. Hall",eng
sketchbookgeoff00irvigoog,1822,"Washington Irving's The legend of Sleepy Hollow and other stories (The sketch-book of Geoffrey Crayon, gent.)","Irving, Washington, 1783-1859",Christmas;Large type books,"Thorndike, Me. : G.K. Hall",eng
sketchbookgeoff07irvigoog,1824,"Washington Irving's The legend of Sleepy Hollow and other stories (The sketch-book of Geoffrey Crayon, gent.)","Irving, Washington, 1783-1859",Christmas;Large type books,"Thorndike, Me. : G.K. Hall",eng
friendshipsoffe00ritcgoog,1826,"Friendship's Offering, and Winter's Wreath.: And Winter's Wreath: a Christmas and New Year's Present","Thomas Kibble Hervey ,  Leitch Ritchie",,"Smith, Elder [etc.]",English
christmasstories00bererich,1827,"Christmas stories : containing John Wildgoose the poacher, the smuggler, and good-nature, or parish matters","Berens, Edward, 1777?-1859;Cruikshank, George, 1792-1878",,Oxford : W. Baxter,eng
christmasholiday00ameriala,1827,"Christmas holidays, or, A visit at home",American Sunday-School Union. Committee of Publication,Christmas -- United States,Philadelphia : Published at the Society's house,eng
westernsouvenirc00hall,1828,"The Western souvenir, a Christmas and New Year's gift for 1829","Hall, James, 1793-1868, ed. 1n",Gift books,"Cincinnati, N. and G. Guilford",eng
afiresidebookor00taylgoog,1828,"A Fireside Book, Or, The Account of a Christmas Spent at Old Court",Charles Benjamin Tayler,,Printed for J.A. Hessey,English
sketchbookgeoff12irvigoog,1829,"Washington Irving's The legend of Sleepy Hollow and other stories (The sketch-book of Geoffrey Crayon, gent.)","Irving, Washington, 1783-1859",Christmas;Large type books,"Thorndike, Me. : G.K. Hall",eng
friendshipsoffe02ritcgoog,1829,"Friendship's Offering, and Winter's Wreath.: And Winter's Wreath: a Christmas and New Year's Present","Thomas Kibble Hervey ,  Leitch Ritchie",,"Smith, Elder [etc.]",English
watchmantellusof00maso,1830,Watchman! tell us of the night : a missionary or Christmas hymn,"Mason, Lowell, 1792-1872;Bowring, John, 1792-1872","Sacred vocal trios with piano;Christmas music;Hymns, English","Boston (Washington St., Boston) : C. Bradlee",eng
davyjonesorharle00barr,1830,"Davy Jones, or, Harlequin and Mother Carey's chickens : performed at the Theatre Royal, Drury Lane, December 27th, 1830 \/ the whole invented and produced by Mr. W. Barrymore.","Barrymore, W. (William), d. 1845;Hughes, Richard, fl. 1827-1846;Kenneth, William, fl. 1825-1835, publisher;Drury Lane Theatre;Nineteenth-century English Pantomime Plays Collection (University of Illinois at Urbana-Champaign Library) IU-R",Pantomime (Christmas entertainment);Pantomimes with music,"London : Published by W. Kenneth, at his Dramatic Repository, corner of Bow Street, Covent Garden",eng
youthskeepsakea00gaingoog,1831,The Youth's Keepsake: A Christmas and New Year's Present,"George A. Leavitt ,  Thomas Illman ,  Robert Walter Weir ,  Joseph Ives Pease ,  S\u00e9bastien Le Clerc ,  Thomas Gainsborough",,Leavitt,English
sketchbookgeoff03irvigoog,1831,"Washington Irving's The legend of Sleepy Hollow and other stories (The sketch-book of Geoffrey Crayon, gent.)","Irving, Washington, 1783-1859",Christmas;Large type books,"Thorndike, Me. : G.K. Hall",eng
memoirofrevjos00lord,1831,Memoir of the Rev. Joseph Stibbs Christmas,"Lord, Eleazar, 1788-1871","Christmas, Joseph Stibbs, 1803-1830;Presbyterian Church;Sermons, American","New York, J.P. Haven and J. Leavitt",eng
tokenandatlanti01hillgoog,1831,The Token and Atlantic Souvenir: A Christmas and New Year's Present,"Samuel Griswold Goodrich,  George Stillman Hilliard",,Gray and Bowen,English
memoirrevjoseph00lordgoog,1831,Memoir of the Rev. Joseph Stibbs Christmas,"Lord, Eleazar, 1788-1871","Christmas, Joseph Stibbs, 1803-1830;Sermons, American","New York, J.P. Haven and J. Leavitt",eng
humoristacompan00broogoog,1832,The Humorist: A Companion for the Christmas Fireside,"William Henry Harrison,  W. H. Brooke",,R. Ackermann,English
marshallschrist00unkngoog,1832,"Marshall's Christmas box, a juvenile annual ..",Thomas Crofton Croker,Gift books,"London, W. Marshall",eng
christmashappyti00mantiala,1832,"Christmas, a happy time : a tale, calculated for the amusement and in[s]truction of young persons","Mant, Alicia Catherine, d. 1869",Brothers and sisters -- Conduct of life;Family reunions;Christmas,"London : T. Allman, 42, Holborn Hill",eng
religioussouveni1845phil,1833,"The Religious souvenir : a Christmas, New Year's and birth day present",,Gift books,"Philadelphia : Key, Mielke and Biddle",eng
religioussouveni1839phil,1833,"The Religious souvenir : a Christmas, New Year's and birth day present",,Gift books,"Philadelphia : Key, Mielke and Biddle",eng
tokenandatlanti05goodgoog,1833,The token and Atlantic souvenir: a Christmas and New Year's present,Samuel Griswold Goodrich,,,English
tokenandatlanti02goodgoog,1833,The Token and Atlantic Souvenir: A Christmas and New Year's Present,Samuel Griswold Goodrich,,Published by Charles Bowen.,English
religioussouveni1840phil,1833,"The Religious souvenir : a Christmas, New Year's and birth day present",,Gift books,"Philadelphia : Key, Mielke and Biddle",eng
chrislso00lond,1833,"Christmas carols : or, sacred songs, suited to the festival of our Lord's nativity ; with appropriate music, and an introductory account of the Christmas carol",,Carols;Carols;Christmas music,London : John William Parker,eng
religioussouveni1834phil,1833,"The Religious souvenir : a Christmas, New Year's and birth day present",,Gift books,"Philadelphia : Key, Mielke and Biddle",eng
religioussouveni1837phil,1833,"The Religious souvenir : a Christmas, New Year's and birth day present",,Gift books,"Philadelphia : Key, Mielke and Biddle",eng
christmascarolsa00sandrich,1833,"Christmas carols, ancient and modern; including the most popular in the west of England, and the airs to which they are sung. Also specimens of French provincial carols. With an introduction and notes","Sandys, William, 1792-1874",Carols;Christmas music,"London, R. Beckley",eng
religioussouveni1833phil,1833,"The Religious souvenir : a Christmas, New Year's and birth day present",,Gift books,"Philadelphia : Key, Mielke and Biddle",eng
juvenileforgetm02hallgoog,1833,"The Juvenile Forget Me Not: A Christmas and New Year's Gift, Or Birthday Present",S. C. Hall,,Frederick Westley and A .H. Davis,English
